id,o,os,d,ds,h,hs,sw_id,name
1,-0.009371483028636588,0.2637285602524494,-0.19910409563183035,0.2511842519674213,0.176601750411995,0.09567992855299808,1775,Dinamo Bucureşti
2,0.4948660976573697,0.2391865942103049,-0.008012503049549697,0.2640500938796436,0.176601750411995,0.09567992855299808,1776,FCSB
3,0.23506190948006578,0.2493619536914172,0.5924799627790245,0.3056125280194634,0.176601750411995,0.09567992855299808,1824,CFR Cluj
4,-0.16278198703004312,0.27225587453206035,-0.046733163497685436,0.2584856116459163,0.176601750411995,0.09567992855299808,1827,Gaz Metan Mediaş
5,0.11536815073973249,0.25453915791657256,0.2547832435267383,0.2776440665366369,0.176601750411995,0.09567992855299808,2805,Astra
6,0.04835643012574335,0.2609929813325313,-0.09079376120972886,0.25745198936614033,0.176601750411995,0.09567992855299808,3243,Botoşani
7,-0.400519479284635,0.29241087752518896,-0.37122000117929665,0.24218021825085656,0.176601750411995,0.09567992855299808,9088,Concordia Chiajna
8,-0.6067646297904361,0.3021535885518933,0.2156420449106392,0.2726573931889508,0.176601750411995,0.09567992855299808,9221,Dunărea Călăraşi
9,0.04757833166432157,0.2611990599322326,-0.42087740268637003,0.24147055692525357,0.176601750411995,0.09567992855299808,11607,Voluntari
10,-0.14009417887328765,0.2689994116426514,0.1204785769141314,0.266979803811933,0.176601750411995,0.09567992855299808,13720,Viitorul
11,-0.04018294641499599,0.2661807240914289,-0.223914127308979,0.25002462536397513,0.176601750411995,0.09567992855299808,16321,Politehnica Iași
12,0.35274642900004816,0.24344816552993076,0.19414079151770608,0.27301359533269903,0.176601750411995,0.09567992855299808,25281,Universitatea Craiova
13,0.061911007855873834,0.26005288903857177,0.18215385598720374,0.27268293460481446,0.176601750411995,0.09567992855299808,29657,Sepsi
14,-0.1775261725003385,0.27370149764761675,0.15757010074734035,0.27077059255479113,0.176601750411995,0.09567992855299808,37490,Hermannstadt
